review,sentiment
"Steven Speilberg's adaptation of Alice Walkers popular novel is not without its share of controversy. When first released members of the black community criticised its treatment of black men, while others questioned why a white man was directing this film about black women.<br /><br />This is the story of a young black woman named Celie, growing up in rural America after the turn of the century. She has two children by her abusive father which are snatched from her arms at birth. Her only solace in her miserable life comes from her sister.<br /><br />Celie (played in later years by newcomer Whoopie Goldberg) is married off to an abusive husband (Danny Glover). The husband is humiliated by the sister and so she is quickly removed from Celie's life.<br /><br />The story is often heartbreaking as Celie keeps up hope that she may one day be reunited with her sister and with her children. Throughout her life she meets an assortment of characters, including Sophia, a tough as nails wife to her step son, and Shug, a loud and luscious saloon singer, who teaches her a thing or two about love.<br /><br />Speilberg's direction is all over this picture, which offers brilliant cinematography and some stellar performances. I dare you to watch this film and not be moved! The film The Color Purple manages to capture the essence of what is a complicated story. While it tends to minimise the lesbian aspects as well as the African story, both of which were so vivid in the book, the movie remains true to its themes, allowing the voice of Alice Walker to shine through.<br /><br />I couldn't begin to respond to the controversy that surrounded this film. Suffice it to say, however, this is one of the few films that I can watch again and again, and which has left an indelible mark on me.<br /><br />",positive
"I read the reviews before i watched this movie, and i didn't believe them. I love crap movies and i expected this one to be average. It wasn't. This film makes Camp Blood 1 and 2 look like greats. The film contains bad acting, poor sound, poor confusing storyline, bad makeup- and it bored me so much i turned it off. even the nudity was rubbish! Did they even have a budget for this film? I don't think they did. You can tell if your gonna like this film or not in the first 5 minutes. if u want a good cheesy gory film go watch toxic avenger 4 or even camp blood. Avoid this trash - I watched it on TV and felt riped off, so don't spend anything on it. The best part is probably the end.",negative
"Like his early masterpiece ""The Elephant Man"" Lynch proves to his detractors that he can tell a straight, simple story without losing his artistic touch. This is a true story of an elderly retired man (expertly played by Richard Farnsworth) who decides to ride a tractor across a few states to pay a final visit to his estranged brother who now stands at death's door. A beautiful score from Badalamenti, exquisite photography of rural life (love those aerial corn-field shots), and a sly director's hand that reveals man's basic humanity, this is a beautiful slice of life film. Its extremely slow pace may lull some viewers to sleep, but those who stay for along for the ride will be well rewarded in the end.",positive
"Wow You guys are way too nice!!!Corny,Corny,Corny That is how I feel about that film.It started well with a good idea , A guy (Edward Asner) escape from Jail dressed as Santa,a bunch of kids find him and believes his the real Santa so the Fake Santa enlist the children to help him find a bag of stolen money.the film is like a Christmas version of ""Whistle down the wind"". The movie start well but gradually it becomes Cheesier and Cheesier to the point that at the end it becomes ridiculous and you just cant take this film seriously. For example you get the Scrooge type character called Sumner (Rene Auberjonois) who's a total Douchebag who treat his young son like a pile a rubbish ,he treat his son so bad that he don't even buy him decent clothes,the poor kid wears Jeans with Holes in it! but a 45 second scene with Fake Santa visiting Sumner and by the end of the film you get the guy all happy singing Christmas Carol and giving his neglected son a hug...yep that is how Corny it is... I'm all for feel good movie especially during Christmas and I am a big fan of seasonal TV movie but this one is way too over the top for me,it is a shame because it started well but the second half of the movie is trowing a supernatural element to the film that just don't match with the rest of it. It's not totally bad,there are some solid acting , especially from the children but there are plenty of better Christmas film around.",negative
"This is a candidate for worst films I've ever seen. It wanted to be as shocking as ""Silence of the Lambs,"" but has neither the style nor the wit of the aforementioned. The make-up is excellent, the acting is pretty good, but the story seems to drag on for years and the murders are so gruesome that they're more disturbing than entertaining.",negative
"Paul Muni and Bette Davis overact monstrously while lacklustre studio hack Archie Mayo seems distracted and oblivious in this racially provocative film that derives its ""bittersweet ending"" by condoning segregationist attitudes. Heavy handed and poorly constructed the film collapses under its own weight within the first fifteen minutes with an out of control courtroom scene that it never recovers from as Mr. Muni begins to chew up scenery by the yard hollering and howling away in an almost incoherent fashion.<br /><br />Johnny Ramirez is a Mexican American from the other side of the tracks who through determination and grit attains a law degree from a store front night school. In his first big case involving an auto accident he displays only ineptitude and is quickly made to look the fool by his well heeled opponents and an impatient judge who recommends he be disbarred. Devastated by the setback an angry Johnny takes on a job at a gambling joint where he is befriended by the owner Charlie Roark (Eugene Palette) who likes his style. The owner cuts him in on the place but problems arise with Mrs. Roark (Davis) who also wants a piece of Johnny. She kills Charlie, implicates Johnny and slowly goes mad before he is acquitted and free to be with a high society Wasp who coldly explains to him that they are from ""different tribes, savage"" and it will never work. When she flees to escape his rage she is run over and killed by a car. Ramirez sells the casino and moves back to his poor neighborhood rationalizing that its best to stay with your own.<br /><br />In addition to this appalling denouement Bordertown has a series of bad performances to compliment the overall ugliness of the story. Unfair as his plight might be, Muni's Ramirez is so abrasive and arrogant it becomes hard to show sympathy for such a bull headed blunderer. Davis is no better as the less than loyal wife matching the same adolescent emotions of Muni. Her Lady Macbeth mad scenes give no indication that she was about to become the best film actress of her era. Margaret Lindsay as Muni's American Dream is cold, remote and flat.<br /><br />Bad as Bordertown is (and it is very) it remains an interesting indicator of the times and acceptable attitudes. The rest is just a mishmash of bad acting and uninspired direction.",negative
"Having previously seen this short on VHS tape with the feature Summer Stock, I just rewatched Every Sunday on the TCM site. It marked the film debut of 15-year-old Deanna Durbin and of 14-year-old Judy Garland outside of her two older sisters. These two teens showcase their musical talents with a solo from Deanna of ""Il Bacio"", then one from Judy of ""Waltz with a Swing"" before the two climax with ""Americana"". The slight plot of this 11-minute film concerns the possible unemployment of Edna's (Durbin's real first name which is the way she's addressed here) grandfather's conducting job at the park because of low attendance. With the two girls' help, you can probably guess what happens from there! Contrasts are marked not only with Garland's and Durbin's musical choice but also with their height, poise, and movement. Despite all that, they perform quite well at the end and it's almost surprising that M-G-M chose Garland while Durbin was already contracted at Universal as this short was made but was briefly allowed back in since her feature debut (Three Smart Girls) was in the early preparing stages. Judy herself would make her first feature (Pigskin Parade) at 20th Century-Fox as M-G-M was deciding what movie she would next star in. That would be Broadway Melody of 1938 where she would perform the show stopping number, ""Dear Mr. Gable (You Made Me Love You)"". But back to this short, Every Sunday provides a warm and wonderful glimpse of two star singers at the beginning of their legendary careers unaware of what the future holds for them...",positive
"I'm one of those people who'd crawl a mile through broken glass to see a Hal Hartley film. From TRUST and IRIS to HENRY FOOL and (my Hartley favorite) NO SUCH THING, Hal's unique brand of movies are an acquired taste. Infusing equal parts mystery/espionage with wispy comedy seems to be his forte. The comedy isn't in your face necessarily, and often runs throughout an entire scene before coming to fruition. And that's the case with FAY GRIM, the sequel to Henry Fool.<br /><br />Parker Posey stars as Fay Grim, abandoned wife of Henry Fool and mother to Henry's only son Ned. Fay lives a quiet life until she comes home one day to find a CIA agent in her kitchen. His name is Fulbright (Jeff Goldblum, MAN OF THE YEAR) and he wants Henry's notebooks. There are many Henry Fool notebooks and they were all previously believed to contain nothing but mad wanderings. Apparently there's much more to them. Secrets weapons research or paths to terrorists? Who knows but Henry. Agent Fulbright tells Fay that her husband is dead but this is quickly surmised as a ruse to get Fay out of her home and searching for Henry (and it works ...but not the way they think).<br /><br />Fay battles multiple spy rings to gather Henry's notebooks and to seek him out. She also makes a deal with the CIA to get her brother Simon (James Urbaniak) out of prison (he'd helped Henry escape the country in the original Henry Fool film.) Multiple overlapping events occur in rapid succession: spy rings shoot each other to death, Henry is discovered being held in ""safety"" by a jihadist, Fay frees her brother but unknowingly risks her son's life, and the CIA gets its comeuppance for putting Fay in danger.<br /><br />Hal Hartley obviously loves to play with themes. And he does so to the extreme here. Even character names (Grim, Fool, Fulbright, Fogg) have implicit meanings of their own that are quite funny. The over-the-top espionage films of ol' are given plenty of screen time, too, as guns blaze in stop-motion sequences, never striking our heroine even though she's right in the line of fire.<br /><br />Now that I've heaped praise on this creation, I will say that Parker Posey's excessive portrayal of Fay Grim isn't the best part of the film, which is a shame considering how much time she's on-screen. I realize this was probably what Mr. Hartley wanted: an uncurbed woman with hand gestures to the Italian extreme. But it was still painful to watch at times.<br /><br />Even so, fans will probably devour Fay Grim and beg for more. Though this wasn't my favorite Hal Hartley film, I know I'm ready.",positive
"I had the good fortune to be at Perris Island in the fall of 1959. The DI showed one evening at the outdoor theater directly in front of our barracks, Plt 162, B Co, 1st Bn, 1st ITR.<br /><br />Although we hadn't been there long enough to even think about seeing a movie, we could hear those that were laughing. It's one of the many indelible memories of my thirteen weeks at PI.<br /><br />At some later date, I got to actually see it in a theater. I'm still convinced that, to date, it remains the most realistic portrayal of the experience in the late 1950's ever done. No one has done it better than Jack Webb...",positive
"I'm a big fan of the demonic puppets. Looking at the surface of this one, it looks pretty good! You've got Decapitron, the puppets, and a new villain in THE TOTEM! Unfortunately, the little punk that's doing this project to animate, inanimate objects, can't act. He stinks! His girlfriend is worse. If they were left out, it would probably be cool, BLADE VS. THE TOTEM. I'd watch that for 2 hours. But instead, the puppets role is down played, and the whole movie suffered because of it. The mystical Skull guy who created the totem is corny at best, and Decapitrons appearance is long awaited, short, and really quite disappointing. You'd be better off watching the first one again.",negative
"Unless you are petrified of Russian people or boars, this movie is a snorefest. Actually, I fell asleep about 40 minutes in & had to fight the urge to just leave the theater. I wish I had. A waste of a perfectly lovely Saturday evening.<br /><br />Even ""Silent Hill"" was scarier. Heck, even ""Pan's Labyrinth"" was scarier. I'm still unclear on what was supposed to be scary in this flick.<br /><br />To begin with, I'm very leery of movies that use ""pidgin Russian"" like this one did in the opening credits. It's embarrassing to me since I brought a group of my Russian friends & we all cringed. Oh my god.<br /><br />Hmm. Well, luckily for me (& probably you, too) this movie has already escaped my brain & I just stepped out of it an hour ago. So I have no specifics, just murky visuals that go nowhere & some languishing-now-dead hope that anything would happen.<br /><br />Perhaps I saw a completely mutilated version of this film because I can't believe it got such great reviews here (which is why I saw it) & ended up being so completely devoid of not only Horror or Suspense but Overall Entertainment Value as well.<br /><br />I give it a 2 because, yes, I fell asleep & wanted to leave after 40 minutes but I woke up & didn't leave.",negative
"I like a lot of Myrna Loy movies. This film was produced before her character actor personality was developed. It would be an okay short film but seems to go on forever in it's complete form.<br /><br />Myrna Loy it seems is told what to do with her acting and does the job. That is about all you can say about her.<br /><br />Her gypsy character is shoddy and the film has many flaws, such as the jewelry shop scene.<br /><br />This film will probably be interesting to Myrna Loy fans but even as such is something of a disappointment.",negative
"SEX WISH was actually released (minus ten minutes of more, ahem, 'extreme' footage) here in the UK back in the early days of the video boom, and caused a tabloid storm in a teacup when it allegedly inspired a copycat murder case. Strangely enough, the papers brushed this ultra-disturbing flick under the carpet in their headlong rush to get the comparatively innocuous likes of FROZEN SCREAM and NIGHT OF THE DEMON canned, and the film has been all but forgotten as a result. I jumped at the chance to watch it on a DVD-RW and spent most of the film's duration with my jaw on the floor. It's not so much politically incorrect as utterly demented, a triple-X take on Michael Winner's DEATH WISH (did the title kind of give the game away as far as inspiration was concerned?) with hardcore sex and some truly nasty violence thrown into an already bubbling brew of seventies sleaze. If you don't consider yourself to be squeamish, this may force you to think again. By the time SEX WISH is over, you'll want to scrub your eyeballs clean with disinfectant and take a long hot shower to purge yourself. If any film truly deserves the ""it's only a movie, only a movie, only a movie"" tag-line, it's this one.<br /><br />Highlights (or lowlights) - a rapist using a vibrator on a victim as he masturbates over her, Harry Reems's scene-stealing moustache, the helpless young black couple who are forced to screw in front the sword cane killer (they'd have won Oscars for their entirely credible performances if the Academy had gone mad) before the man is castrated for his troubles, and some jarringly slick direction that threatens to lift the proceedings above their obvious grind-house origins. Don't say I didn't warn you. If you thought the world was a more innocent place thirty years ago, SEX WISH will prove you very, very wrong.",negative
"What was I thinking when I rented this one? What did the distributor think when he copied the tape and shipped it all the way to Holland? That anyone really wanted to see this s***?!?<br /><br />It's about some astronauts getting into trouble outer space (Apollo 13 flashback, but never even in the shadow of this fine film) and they want to return to home. If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!<br /><br />This one wants to surf on the small wave of space movies in 1998 (Deep Impact and Armageddon), and this one fails everywhere. Deep Impact and Armageddon weren't perfect either (far from it), but they were at least worth watching once (and maybe one more time when we're all old). They gave some fun. Max Q doesn't. It gives irritation. Okay, okay. It's a TV movie, but does that mean you're allowed to come up with such a mess?<br /><br />If you haven't choked in your own vomit by the end (by all the cheap drama and worthless dialogue) you've must have bored yourself to death with this waste of time.<br /><br />It gets at its worst at the end when the space shuttle lands on... No, I can't 'spoil' this one (IMDb guidelines forbid it). So you have to see for yourself. NO! DON'T SEE IT (sorry), but rent a movie which is worth renting (like Battlefield Earth... just kidding!)<br /><br />Probably the worst one I have ever seen.",negative
"I know this sounds odd coming from someone born almost 15 years after the show stopped airing, but I love this show. I don't know why, but I enjoy watching it. I love Adam the best. The only disappointing thing is that the only place I found to buy the seasons on DVD was in Germany, and that was only the first two seasons. That is disappointing, but that's OK. I'll keep looking online. If anyone has any tips on where to buy the second through 14th seasons, please email me at darkangel_1627@yahoo.com. I already own the first one. The only down side is that the DVDs being from Germany, they only play on my portable DVD player and my computer. Oh well. I still own it!",positive
"The film is visually stunning: from the dusty interior of the church with the lighted stove, through the drizzly street and the run-down garage to the blaze that is the climax of the film. It also has a wonderful sense of time, both 1950's (the film's opening) and 1960's. All of the performances are top-class, especially Mathew MacFadyen as the psychotic preacher and Gerard McSorley as the father who finds his own intolerance terrifyingly magnified by his son. What a pity, then, that the story is so ridiculous. For a start, in concentrating on the relationship between Gabriel (McFadyen) and his family, it utterly fails to show how he has managed to hold so much influence on the community. In the church, we see five or six of the main characters at the front, and another two or three at the back, but the rest of the congregation might as well be mannequins: they show no sign of hearing him, heeding him or dissenting from him; at the cockfight, nobody says yea or nay when he disrupts the proceedings, but neither does anybody applaud or condemn when Caroline throws a pint over him; a situation that results in a stone thrown through the pub window is mysteriously resolved by the onset of labour pains. Secondly, Middletown (which isn't actually a town, but a tiny village) seems to lack some essential services, such as police and fire service: murder can only be dealt with by a family member with a crowbar; residents watch an inferno that threatens to engulf the whole town as though they were at the cinema. For that matter, everyday things such as telephones and newspapers are conspicuously absent, the rural community is strangely devoid of farm animals or wheat-fields, and most puzzling of all for a 'typical' North of Ireland setting, there is only one Christian community - not even a couple of Anglicans to season the mix. Even if you're willing to suspend disbelief, the story itself is pretty threadbare, a pale imitation of an A.J. Cronin melodrama. And the music? Well, it's beautiful for the first two minutes, but when the same four chords are repeated non-stop for 90 minutes it gets more than a little irritating. My advice: watch this with the sound off.",negative
"Before Lost everything shown on TV was predictable . You could predict who was gonna die or who will find something, but in Lost you could predict NOTHING. Every thing was so surprisingly stunning and it really was a mystery not because it has so many secrets but because there was nothing like it before everything was so great. I literally became addicted to it. LOST is a classic work of art. It gives you something to look forward to every week. It is genius. The surrounding is brilliant it is calm and warm at the beach and so scary in the jungle. The characters are a work of genius every one of them especially the ones already on the island. The castaways are so dramatic yet we can never predict their deaths because they have so much more to do and so much more to say and they have secrets affecting the other castaways that die with them.",positive
"I've finally seen THE INCUBUS after waiting 20 something odd years to see it and well, it surely wasn't worth waiting all this time to see it. THE INCUBUS is strictly by-the-number horror film: unseen killer/monster is raping and murdering women in a small town. <br /><br />The film goes like this: movie opens with killing; then blah blah blah; more blah blah blah; then another killing; even more blah blah blah; continuing with blah blah blah; yet another killing (surprising, huh?); blah blah blah, etc...<br /><br />The film is totally predictable from beginning to end. Even the stupid ""big"" red-herring used throughout the movie wouldn't convince a 5 year old. And I figured out the secret identity of the incubus the moment I saw the character, so when the ""shocking"" surprise ending arrived, I wasn't shocked or surprised. In fact, it was so funny that I kept on chuckling days after I saw the movie. It's so silly!<br /><br />Anyway, the film is so by-the-number that the ""rock band"" sequence is one of the few stand-out moments in this dreary flick. It's a stand-out scene not necessarily because it's good but because it's so funny and pointless: the movie playing on the big screen shows a rock video-like moment with a guy in red leather pants getting his obviously fake long hair cut, all of this edited with scenes of a girl who is being attacked in the movie theater's washroom by the incubus. The best thing I could say about this film is the cinematography, which I actually liked. But aside from that, there's almost nothing worth mentioning about THE INCUBUS, except that it's unintentionally hilarious.",negative
"Many moons ago when I was seven years old, I can vaguely remember seeing a trailer for this movie. It appealed to my naive sense of curiosity and I decided to ask my parents to take me to this movie. Being the wise adults that they are, they told me ""Absolutely not! It's a bunch of trash."" Of course, I was very disappointed that I would not be the first kid on my block to see the ""Incredible Melting Man.""<br /><br />Little time passed - maybe a couple of days. I forgot about ""The Incredible Melting Man"" and my disappointment faded. Twenty-five years passed until it re-entered the forefront of my thoughts. While surfing through channels on digital cable, I found this long-lost relic of a movie. My curiosity was piqued and I decided to finally partake in this fruit forbidden by my parents. I should have listened to them. The ""Incredible Melting Man"" is perhaps the worst movie known to man. It makes movies such as ""Def-Con 4, ""Metalstorm"", and ""Freddie Got Fingered"" look like Oscar nominees. I feel violated for wasting almost two hours of my life watching this vile filth. The story was incoherent and the effects were crude even for 1977. How anyone convinced a film company to produce this movie beyond me.<br /><br />Don't make the same mistake that I did. Listen to your parents if they forbade you to watch this movie. They were right.",negative
"This is the ultimate Kung Fu movie! This is the only Kung Fu movie! This is the only Kung Fu movie I have ever seen! I am giving this movie way too much credit! My best guess for the reason for making this movie is that someone wanted to show off someone else's martial arts abilities, but realized that you can't just film a guy fighting another guy and have people watch it, so he put a story behind the fighting... and people still didn't watch it.<br /><br />This movie's story line was onion skin thin. That acting was goofy and stereotypical of any Kung Fu movie. The dubbing was literally the worst I have ever heard. It seemed if you played a small role in this movie, like the fat guy or the two guys trying to catch the main character with a net, it didn't matter who over did your voice. It could have been a dyslexic with a slurred stutter and nobody would have said anything. But beside all of this, the movie makes up for itself with the somewhat awesome fight scenes.<br /><br />The fight scenes were definitely what this movie was all about. But the instigations of the fights were totally absurd! On most all instances, a guy either pops out of the tall grass, or glances at the main character from a distance, and then attacks him. But once the fighting started, things sort of balanced out. There were only two things that really hampered the fighting, though. Those constant ""wooshing"" sound effects that were added to every swing of a fist or foot or sword, and the poor editing that made 25 percent of the fighting VERY jumpy and choppy. Someone would be in the middle of a back flip and then suddenly be on the ground being kicked, and then instantly be back on their feet blocking a punch. But while the cut and paste editing was more of a nuisance than anything else, it didn't really affect the overall movie.<br /><br />In the end, this was not a great movie, but I wasn't expecting a great movie. A great movie is not something you should expect when you see a box cover like this movie's. All I saw this movie as was a way to pass an hour and a half of boredom. I rarely say that, but this was just one of those movies you have no practical use for, so you watch it whenever you have some free time. Enjoy the movie if you decide to watch it! Good day gentlemen.<br /><br />-Scott-",negative
"""Snow Queen"" is based, of course, on the fairy tale of the same name, collected in (at least) Andersen's Fairy Tales - and, unlike many other recent productions based on other fairy tales, this one retains the spirit of Faerie, an accomplishment not easy and not well understood by many, especially among Americans. Talking animals, arbitrary prohibitions, appearances of goblins, dragons, and demons, are not to be questioned in a fairy tale; they are as natural an element of Faerie as, say, gravity is in the scientific world, and the reason or explanation for them is completely beside the point of the story. Nor is the story bound by modern Hollywood rules of composition: direct, often to the point of being grotesquely linear in lesser works, and obvious (in retrospect, at least).<br /><br />With this defence against the common criticisms of those who do not understand fairy tales, ""Snow Queen"" is a delightful movie with wonderful visual effects, skillful acting, and great sentiment. The only flaw in the movie was, I think, not that it was too fantastical but that certain parts of the dialogue were too glaringly modern in slang and expression, a mar on its otherwise timeless nature.",positive
"Confounding melodrama taken from a William Gibson story, produced by John Houseman and directed by Vincente Minnelli! Richard Widmark heads up posh, upscale rural nervous asylum, where his loose wife battles with self-appointed queen bee Lillian Gish, and Widmark himself gets the straying eye for staff-newcomer Lauren Bacall, who is putting her life back together after the death of her husband and child. Facetious and muddled, set in an indiscriminate time and place, and with a ""David and Lisa"" love story hidden in the plush morass. Widmark and Bacall do have some good chemistry together, but this script gives them nothing to build on. For precisely an hour, most of the dialogue concerns what to do about the drapes hanging in the library (this thread isn't used as symbolism, rather it's a red herring in a non-mystery!). The picture hopes to show the loggerheads that disparate people come to when they're working in the same profession and everyone thinks their opinion is right, but unfortunately the roundabout way Minnelli unravels this stew is neither informative, enlightening nor entertaining. ** from ****",negative
